availability,price,product_page_url,rating,title
In stock,£47.61,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,star-rating Five,Private Paris (Private #10)
In stock,£23.11,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,star-rating Five,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.
In stock,£45.07,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,star-rating Two,Without Borders (Wanderlove #1)
In stock,£31.77,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,star-rating One,When We Collided
In stock,£50.27,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,star-rating Five,"We Love You, Charlie Freeman"
In stock,£14.27,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,star-rating Four,Untitled Collection: Sabbath Poems 2014
In stock,£44.18,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,star-rating Four,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"
In stock,£18.78,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,star-rating Three,Unicorn Tracks
In stock,£25.52,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,star-rating One,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink"
In stock,£16.28,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,star-rating One,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)
In stock,£31.12,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,star-rating Three,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity
In stock,£19.49,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,star-rating Four,This One Summer
In stock,£17.27,https://books.toscrape.com/catalogue/thirst_946/index.html,star-rating Five,Thirst
In stock,£19.09,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,star-rating One,The Torch Is Passed: A Harding Family Story
In stock,£56.13,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,star-rating One,The Secret of Dreadwillow Carse
In stock,£56.41,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,star-rating One,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!"
In stock,£56.50,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,star-rating Four,The Past Never Ends
In stock,£45.22,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,star-rating Three,The Natural History of Us (The Fine Art of Pretending #2)
In stock,£38.16,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,star-rating Four,The Nameless City (The Nameless City #1)
In stock,£54.11,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,star-rating Three,The Murder That Never Was (Forensic Instincts #5)
In stock,£42.96,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,star-rating Four,The Most Perfect Thing: Inside (and Outside) a Bird's Egg
In stock,£23.89,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,star-rating Four,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy"
In stock,£16.77,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,star-rating Three,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
In stock,£20.59,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,star-rating Five,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer"
In stock,£37.13,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,star-rating One,The Gutsy Girl: Escapades for Your Life of Epic Adventure
In stock,£56.06,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,star-rating One,The Electric Pencil: Drawings from Inside State Hospital No. 3
In stock,£58.11,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,star-rating Four,The Death of Humanity: and the Case for Life
In stock,£49.05,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,star-rating Three,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life"
In stock,£40.76,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,star-rating Three,The Art Forger
In stock,£19.73,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,star-rating One,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind
In stock,£32.24,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,star-rating Five,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution
In stock,£41.83,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,star-rating Four,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up
In stock,£39.58,https://books.toscrape.com/catalogue/soul-reader_926/index.html,star-rating Two,Soul Reader
In stock,£39.25,https://books.toscrape.com/catalogue/security_925/index.html,star-rating Two,Security
In stock,£25.02,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,star-rating Three,"Saga, Volume 6 (Saga (Collected Editions) #6)"
In stock,£51.04,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,star-rating Two,"Saga, Volume 5 (Saga (Collected Editions) #5)"
In stock,£19.83,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,star-rating Two,Reskilling America: Learning to Labor in the Twenty-First Century
In stock,£50.40,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,star-rating Three,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)"
In stock,£13.61,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,star-rating Five,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)"
In stock,£13.34,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,star-rating Five,Princess Between Worlds (Wide-Awake Princess #5)
In stock,£18.97,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,star-rating One,"Pop Gun War, Volume 1: Gift"
In stock,£36.28,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,star-rating Two,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics"
In stock,£10.16,https://books.toscrape.com/catalogue/patience_916/index.html,star-rating Three,Patience
In stock,£15.44,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,star-rating Four,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)"
In stock,£48.41,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,star-rating One,orange: The Complete Collection 1 (orange: The Complete Collection #1)
In stock,£46.35,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,star-rating One,Online Marketing for Busy Authors: A Step-By-Step Guide
In stock,£14.07,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,star-rating Three,On a Midnight Clear
In stock,£14.86,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,star-rating Two,Obsidian (Lux #1)
In stock,£33.37,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,star-rating Two,My Paris Kitchen: Recipes and Stories
In stock,£56.40,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,star-rating Two,Masks and Shadows
In stock,£14.02,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,star-rating Four,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed"
In stock,£46.91,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,star-rating Two,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)"
In stock,£45.61,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,star-rating Three,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)"
In stock,£19.92,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,star-rating Two,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)
In stock,£40.11,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,star-rating One,"Layered: Baking, Building, and Styling Spectacular Cakes"
In stock,£53.90,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,star-rating Two,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)
In stock,£35.67,https://books.toscrape.com/catalogue/join_902/index.html,star-rating Five,Join
In stock,£22.00,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,star-rating Four,In the Country We Love: My Family Divided
In stock,£57.36,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,star-rating Five,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine
In stock,£29.17,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,star-rating Two,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)"
In stock,£54.63,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,star-rating Three,I am a Hero Omnibus Volume 1
In stock,£46.03,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,star-rating One,How to Be Miserable: 40 Strategies You Already Use
In stock,£33.97,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,star-rating One,Her Backup Boyfriend (The Sorensen Family #1)
In stock,£22.11,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,star-rating Two,"Giant Days, Vol. 2 (Giant Days #5-8)"
In stock,£29.69,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,star-rating Three,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton
In stock,£15.97,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,star-rating Four,First and First (Five Boroughs #3)
In stock,£21.96,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,star-rating One,Fifty Shades Darker (Fifty Shades #2)
In stock,£54.35,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,star-rating Two,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day
In stock,£37.97,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,star-rating Two,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master"
In stock,£51.99,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,star-rating Four,Danganronpa Volume 1
In stock,£43.29,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,star-rating Three,Crown of Midnight (Throne of Glass #2)
In stock,£36.72,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,star-rating Four,"Codename Baboushka, Volume 1: The Conclave of Death"
In stock,£17.08,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,star-rating Four,Camp Midnight
In stock,£29.14,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,star-rating Five,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle
In stock,£28.81,https://books.toscrape.com/catalogue/burning_884/index.html,star-rating Three,Burning
In stock,£49.46,https://books.toscrape.com/catalogue/bossypants_883/index.html,star-rating Two,Bossypants
In stock,£37.92,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,star-rating Two,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))"
In stock,£28.09,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,star-rating Two,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)"
In stock,£30.81,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,star-rating One,Algorithms to Live By: The Computer Science of Human Decisions
In stock,£42.95,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,star-rating One,A World of Flavor: Your Gluten Free Passport
In stock,£56.76,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,star-rating Five,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations"
In stock,£16.64,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,star-rating One,A Murder in Time
In stock,£55.53,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,star-rating Five,A Flight of Arrows (The Pathfinders #2)
In stock,£28.13,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,star-rating Four,A Fierce and Subtle Poison
In stock,£52.37,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,star-rating One,A Court of Thorns and Roses (A Court of Thorns and Roses #1)
In stock,£54.00,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,star-rating Five,(Un)Qualified: How God Uses Broken People to Do Big Things
In stock,£21.87,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,star-rating Four,You Are What You Love: The Spiritual Power of Habit
In stock,£43.30,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,star-rating Four,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)"
In stock,£21.04,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,star-rating Two,Tuesday Nights in 1980
In stock,£41.60,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,star-rating Three,Tracing Numbers on a Train
In stock,£35.07,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,star-rating Three,Throne of Glass (Throne of Glass #1)
In stock,£59.64,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,star-rating One,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History
In stock,£52.72,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,star-rating One,Thirteen Reasons Why
In stock,£58.08,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,star-rating Four,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”
In stock,£24.12,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,star-rating One,The Wedding Dress
In stock,£42.15,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,star-rating Four,The Vacationers
In stock,£12.61,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,star-rating Five,The Third Wave: An Entrepreneur’s Vision of the Future
In stock,£17.44,https://books.toscrape.com/catalogue/the-stranger_861/index.html,star-rating Four,The Stranger
In stock,£33.14,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,star-rating One,The Shadow Hero (The Shadow Hero)
In stock,£27.37,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,star-rating Four,The Secret (The Secret #1)
In stock,£51.36,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,star-rating Five,The Regional Office Is Under Attack!
In stock,£36.00,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,star-rating Two,The Psychopath Test: A Journey Through the Madness Industry
In stock,£10.65,https://books.toscrape.com/catalogue/the-project_856/index.html,star-rating One,The Project
In stock,£43.54,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,star-rating Two,The Power of Now: A Guide to Spiritual Enlightenment
In stock,£38.21,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,star-rating Two,The Omnivore's Dilemma: A Natural History of Four Meals
In stock,£37.34,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,star-rating Five,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us
In stock,£44.10,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,star-rating Four,The Murder of Roger Ackroyd (Hercule Poirot #4)
In stock,£43.29,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,star-rating Three,The Mistake (Off-Campus #2)
In stock,£55.85,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,star-rating One,The Matchmaker's Playbook (Wingmen Inc. #1)
In stock,£37.60,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,star-rating Two,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking
In stock,£10.97,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,star-rating One,The Long Shadow of Small Ghosts: Murder and Memory in an American City
In stock,£41.82,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,star-rating Four,The Kite Runner
In stock,£36.95,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,star-rating One,The House by the Lake
In stock,£44.28,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,star-rating One,The Glittering Court (The Glittering Court #1)
In stock,£55.02,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,star-rating Two,The Girl on the Train
In stock,£17.24,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,star-rating One,The Genius of Birds
In stock,£23.15,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,star-rating Two,The Emerald Mystery
In stock,£41.25,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,star-rating One,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First
In stock,£32.00,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,star-rating Three,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.
In stock,£38.49,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,star-rating Five,The Artist's Way: A Spiritual Path to Higher Creativity
In stock,£33.34,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html,star-rating Five,The Art of War
In stock,£10.93,https://books.toscrape.com/catalogue/the-argonauts_837/index.html,star-rating Two,The Argonauts
In stock,£27.55,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,star-rating Three,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job
In stock,£55.99,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,star-rating Two,Suddenly in Love (Lake Haven #1)
In stock,£16.24,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,star-rating Four,Something More Than This
In stock,£26.12,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,star-rating Two,Soft Apocalypse
In stock,£12.23,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,star-rating Two,So You've Been Publicly Shamed
In stock,£23.99,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,star-rating Two,Shoe Dog: A Memoir by the Creator of NIKE
